                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0655,                0.82553,                    1.2,                 0.8969,                    0.8,                0.85023,                0.63787,                 1.0091,                 0.8675,                  1.099,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0597,                 0.8264,                 1.1984,                0.89891,                   0.84,                0.88554,                 0.6741,                 0.9701,                0.80294,                 1.0931,               0.001307,               0.001307,               0.001307
                     37,                 1.0667,                0.81442,                 1.1881,                0.92401,                   0.82,                0.88308,                0.62805,                 1.0909,                0.88481,                 1.2228,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0483,                0.80308,                 1.1916,                0.90478,                    0.8,                0.88993,                0.65788,                 1.0368,                0.82275,                 1.1825,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0333,                0.78068,                 1.1818,                0.91662,                   0.86,                0.89881,                0.66389,                 1.0004,                0.84887,                 1.1729,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0323,                0.79201,                 1.1784,                0.92916,                   0.84,                0.89179,                0.65383,                0.96997,                0.82547,                 1.1401,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0285,                0.79882,                 1.1706,                0.95145,                0.78401,                0.88516,                0.62968,                 1.0117,                 0.7597,                 1.1705,               0.001208,               0.001208,               0.001208
                     42,                 1.0285,                0.79745,                 1.1776,                0.95212,                   0.88,                0.91863,                 0.6946,                0.92416,                0.67353,                 1.0918,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0162,                0.77699,                 1.1682,                 0.8928,                   0.84,                0.88074,                0.67031,                0.94001,                0.74743,                 1.0773,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0139,                0.76435,                 1.1704,                0.94462,                   0.84,                 0.8965,                 0.6782,                0.92599,                 0.7646,                 1.1147,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0137,                0.76554,                 1.1593,                0.93126,                0.81291,                0.90183,                0.70734,                0.86404,                0.74471,                 1.0775,              0.0011288,              0.0011288,              0.0011288
                     46,                0.99867,                0.77661,                 1.1666,                0.94175,                   0.86,                0.88644,                0.67451,                0.97827,                0.82873,                 1.1173,               0.001109,               0.001109,               0.001109
                     47,                0.98668,                0.75166,                 1.1427,                0.97608,                0.81628,                0.90531,                0.69999,                0.93963,                0.72713,                 1.1009,              0.0010892,              0.0010892,              0.0010892
                     48,                0.97244,                 0.7257,                 1.1336,                0.97618,                0.81966,                0.88646,                0.67281,                0.95391,                0.73704,                 1.0846,              0.0010694,              0.0010694,              0.0010694
                     49,                0.99415,                0.74848,                   1.15,                0.94999,                   0.82,                0.90319,                0.70389,                0.94123,                0.73022,                 1.0919,              0.0010496,              0.0010496,              0.0010496
                     50,                0.97845,                0.72878,                 1.1348,                0.96501,                    0.8,                0.90636,                  0.691,                0.86242,                0.65629,                 1.0533,              0.0010298,              0.0010298,              0.0010298
                     51,                0.97149,                0.72754,                  1.145,                0.95365,                0.82308,                0.90108,                0.68444,                0.92348,                0.71251,                 1.0794,                0.00101,                0.00101,                0.00101
                     52,                0.94991,                0.71384,                 1.1365,                0.93391,                0.84795,                0.89465,                0.68127,                0.93098,                  0.742,                 1.0777,              0.0009902,              0.0009902,              0.0009902
                     53,                0.96012,                0.71241,                 1.1454,                0.95465,                0.84213,                0.90948,                0.69358,                0.91507,                0.67862,                 1.0913,              0.0009704,              0.0009704,              0.0009704
                     54,                 0.9513,                0.71823,                 1.1352,                0.91154,                   0.86,                 0.9249,                0.70481,                0.88681,                0.65452,                 1.0813,              0.0009506,              0.0009506,              0.0009506
                     55,                0.95378,                0.71835,                  1.126,                0.93078,                   0.84,                0.88877,                0.70448,                0.85213,                0.71156,                  1.061,              0.0009308,              0.0009308,              0.0009308
                     56,                0.95416,                0.71235,                 1.1375,                0.89557,                0.85759,                 0.8967,                0.70995,                0.81204,                0.69674,                 1.0464,               0.000911,               0.000911,               0.000911
                     57,                0.94541,                0.69934,                 1.1282,                0.91368,                0.84683,                0.90199,                0.69861,                0.88788,                0.71411,                 1.0794,              0.0008912,              0.0008912,              0.0008912
                     58,                0.92809,                0.69265,                 1.1186,                0.95029,                   0.88,                0.92079,                0.72099,                0.87621,                0.67009,                 1.0651,              0.0008714,              0.0008714,              0.0008714
                     59,                0.92517,                0.67886,                 1.1127,                  0.877,                   0.88,                0.91402,                0.70281,                0.88105,                0.63716,                 1.0584,              0.0008516,              0.0008516,              0.0008516
                     60,                0.93598,                0.69702,                 1.1094,                0.91626,                0.87539,                0.91181,                0.72548,                0.86371,                0.64351,                 1.0454,              0.0008318,              0.0008318,              0.0008318
                     61,                0.92828,                 0.6904,                 1.1118,                0.95384,                   0.84,                0.92046,                0.72411,                 0.8008,                0.65399,                 1.0159,               0.000812,               0.000812,               0.000812
                     62,                 0.9144,                0.67152,                 1.1132,                0.93564,                0.87229,                0.92214,                0.72928,                0.85328,                0.65646,                 1.0467,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.9174,                0.66967,                 1.1023,                0.97529,                0.78942,                0.90439,                0.70473,                0.80978,                0.64969,                 1.0312,              0.0007724,              0.0007724,              0.0007724
                     64,                0.92602,                0.67761,                 1.1152,                 0.9641,                   0.84,                0.92158,                0.73226,                 0.7727,                0.60227,                 1.0161,              0.0007526,              0.0007526,              0.0007526
                     65,                 0.9056,                0.65229,                 1.0986,                0.97126,                   0.84,                0.92336,                0.73422,                0.79044,                0.63451,                 1.0196,              0.0007328,              0.0007328,              0.0007328
                     66,                0.91442,                 0.6806,                 1.1132,                0.89563,                   0.88,                0.91813,                0.73263,                0.80425,                0.63062,                 1.0319,               0.000713,               0.000713,               0.000713
                     67,                0.90239,                0.65876,                 1.1042,                0.91846,                   0.86,                0.92396,                0.73346,                0.81477,                0.63286,                 1.0198,              0.0006932,              0.0006932,              0.0006932
                     68,                0.89821,                0.65493,                 1.1004,                0.95411,                0.83168,                0.91502,                0.71544,                0.84068,                 0.6624,                 1.0502,              0.0006734,              0.0006734,              0.0006734
                     69,                0.87929,                0.63259,                 1.0953,                0.95177,                   0.86,                0.92975,                0.73548,                0.76361,                0.57147,                  1.002,              0.0006536,              0.0006536,              0.0006536
                     70,                0.90677,                   0.65,                 1.0902,                0.93526,                0.86683,                0.92787,                0.73527,                0.81415,                0.60865,                 1.0265,              0.0006338,              0.0006338,              0.0006338
                     71,                0.89462,                0.65491,                 1.0914,                0.95871,                   0.84,                0.91367,                0.71658,                0.84243,                 0.6138,                 1.0444,               0.000614,               0.000614,               0.000614
                     72,                0.89815,                0.64696,                 1.0924,                0.91427,                0.85325,                0.90879,                0.70576,                 0.8296,                0.64796,                 1.0268,              0.0005942,              0.0005942,              0.0005942
                     73,                0.88308,                0.64033,                 1.0835,                0.93942,                   0.84,                0.91305,                0.74444,                 0.7998,                0.62761,                 1.0139,              0.0005744,              0.0005744,              0.0005744
                     74,                0.88175,                0.63751,                 1.0862,                 0.9315,                   0.86,                0.90617,                0.71304,                0.83142,                0.66712,                 1.0279,              0.0005546,              0.0005546,              0.0005546
                     75,                0.87148,                0.63816,                 1.0668,                0.96165,                   0.82,                0.93016,                 0.7392,                0.82411,                 0.5981,                 1.0292,              0.0005348,              0.0005348,              0.0005348
                     76,                0.87531,                0.64566,                  1.092,                 0.9161,                0.87357,                0.92664,                0.74289,                 0.8316,                0.59477,                 1.0203,               0.000515,               0.000515,               0.000515
                     77,                0.87869,                0.63715,                 1.0905,                0.92708,                   0.88,                0.92878,                0.72973,                0.82998,                0.58928,                 1.0484,              0.0004952,              0.0004952,              0.0004952
                     78,                0.87318,                0.61983,                 1.0782,                0.93064,                   0.88,                0.92352,                0.73952,                0.79367,                0.57029,                   1.04,              0.0004754,              0.0004754,              0.0004754
                     79,                0.87083,                0.62226,                 1.0864,                0.92539,                   0.86,                0.90819,                0.73349,                0.76689,                0.58933,                 1.0226,              0.0004556,              0.0004556,              0.0004556
                     80,                0.85534,                0.60738,                 1.0764,                 0.9164,                0.87694,                0.92834,                0.74957,                0.77188,                0.57532,                 1.0343,              0.0004358,              0.0004358,              0.0004358
                     81,                0.84267,                0.60994,                 1.0669,                0.95643,                0.87813,                0.93367,                0.74354,                0.78313,                0.61328,                 1.0332,               0.000416,               0.000416,               0.000416
                     82,                 0.8308,                0.59131,                  1.065,                0.89688,                   0.86,                0.92434,                0.73863,                0.81126,                0.59477,                 1.0351,              0.0003962,              0.0003962,              0.0003962
                     83,                0.84013,                0.60314,                 1.0647,                0.91482,                   0.88,                0.93774,                0.74187,                 0.8018,                0.59761,                 1.0071,              0.0003764,              0.0003764,              0.0003764
                     84,                0.85041,                0.60244,                 1.0732,                0.93143,                   0.88,                0.93329,                0.74656,                0.77829,                0.56137,                0.99492,              0.0003566,              0.0003566,              0.0003566
                     85,                0.84813,                0.60442,                 1.0746,                0.93597,                0.87717,                0.92638,                0.75922,                 0.7736,                0.62651,                0.99519,              0.0003368,              0.0003368,              0.0003368
                     86,                0.84019,                0.60372,                 1.0653,                0.90908,                   0.88,                0.92457,                0.74012,                0.79706,                0.59236,                 1.0058,               0.000317,               0.000317,               0.000317
                     87,                0.84169,                0.59738,                 1.0676,                0.97373,                   0.84,                0.93537,                0.75414,                0.77276,                0.55408,                0.98882,              0.0002972,              0.0002972,              0.0002972
                     88,                0.82607,                0.58705,                 1.0669,                0.89607,                0.86222,                0.93528,                 0.7532,                0.79412,                 0.5621,                 1.0073,              0.0002774,              0.0002774,              0.0002774
                     89,                0.82287,                0.57865,                 1.0584,                0.92623,                   0.86,                0.94212,                0.75754,                0.77916,                 0.5393,                0.99978,              0.0002576,              0.0002576,              0.0002576
                     90,                0.82488,                0.58008,                 1.0622,                0.89654,                0.86662,                0.93023,                0.73678,                 0.8059,                 0.5739,                 1.0075,              0.0002378,              0.0002378,              0.0002378
                     91,                0.74188,                0.49085,                 1.0104,                0.91633,                0.87623,                 0.9221,                0.75946,                0.78884,                0.57792,                 1.0154,               0.000218,               0.000218,               0.000218
                     92,                0.74391,                0.47588,                 1.0043,                0.96969,                   0.82,                0.92283,                0.74648,                 0.7728,                0.56389,                 1.0152,              0.0001982,              0.0001982,              0.0001982
                     93,                0.72489,                0.46317,                0.99516,                0.88383,                   0.86,                0.91798,                0.75132,                0.77752,                  0.611,                 1.0033,              0.0001784,              0.0001784,              0.0001784
                     94,                0.72658,                0.46724,                0.99729,                0.89659,                0.86715,                0.91151,                0.73134,                0.78629,                0.61633,                0.98826,              0.0001586,              0.0001586,              0.0001586
                     95,                0.71093,                0.45364,                 1.0059,                0.96428,                    0.8,                0.91294,                0.73438,                 0.7831,                0.60027,                0.99436,              0.0001388,              0.0001388,              0.0001388
                     96,                0.71529,                0.45559,                0.99504,                0.94804,                    0.8,                0.92211,                0.73024,                0.78586,                0.60053,                 1.0014,               0.000119,               0.000119,               0.000119
                     97,                 0.7165,                0.45489,                0.99677,                0.89007,                   0.86,                0.92534,                0.74199,                0.78708,                0.60205,                0.99498,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.71179,                 0.4535,                0.99544,                0.88762,                   0.86,                0.91763,                 0.7429,                0.79695,                0.60084,                 1.0063,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 0.7007,                0.45192,                0.98287,                0.89688,                0.86983,                0.92338,                0.74649,                0.78325,                0.58961,                0.99756,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.70406,                0.44511,                0.98894,                0.89868,                 0.8871,                 0.9211,                0.74629,                0.77421,                0.58731,                0.98659,               3.98e-05,               3.98e-05,               3.98e-05
